Title,Brand,Standing.screen.display.size,Resolution,Processor.Brand,Processor.Type,Processor.Count,RAM.Size,Price,Customer.Review,Link,Times.Rated
"Lenovo IdeaPad 3 11th Gen Intel Core i3 15.6"" FHD Thin & Light Laptop(8GB/512GB SSD/Windows 11/Office 2021/2Yr Warranty/3months Xbox Game Pass/Platinum Grey/1.7Kg), 81X800LGIN",Lenovo,15.6 Inches,1920 X 1080 (FHD) Pixels,Intel,Core i3,4,8 GB,39820,4.1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDMwMjc2NzQ3MTU2OTk2OjE2NjgxNzA1NjY6c3BfYXRmOjIwMDU4NzAzMjc3ODk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FLenovo-IdeaPad-Warranty-Platinum-81X800LGIN%2Fdp%2FB0B2RBP83P%2Fref%3Dsr_1_1_sspa%3Fcrid%3D21X0ZDNORCOI%26keywords%3Dlaptop%26qid%3D1668170566%26qu%3DeyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%253D%253D%26refinements%3Dp_n_feature_twenty-three_browse-bin%253A27387161031%257C27387168031%252Cp_72%253A1318476031%26rnid%3D1318475031%26s%3Dcomputers%26sprefix%3Dlaptop%252Caps%252C232%26sr%3D1-1-spons%26psc%3D1,1921
"Acer Aspire 3 (AMD Ryzen 3-3250U/ 8GB/ 256 GB SSD/ Windows 11 Home/ MS Office) A315-23 with 39.6 cm (15.6"") Full HD Display /1.9kg",Acer,15.6 Inches,1920 x 1080 Pixels,AMD,Ryzen 3,1,8 GB,31990,3.8,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDMwMjc2NzQ3MTU2OTk2OjE2NjgxNzA1NjY6c3BfYXRmOjIwMDgyODc3ODk3NDk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FAcer-3-3250U-Windows-A315-23-Display%2Fdp%2FB0B7SC16YM%2Fref%3Dsr_1_2_sspa%3Fcrid%3D21X0ZDNORCOI%26keywords%3Dlaptop%26qid%3D1668170566%26qu%3DeyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%253D%253D%26refinements%3Dp_n_feature_twenty-three_browse-bin%253A27387161031%257C27387168031%252Cp_72%253A1318476031%26rnid%3D1318475031%26s%3Dcomputers%26sprefix%3Dlaptop%252Caps%252C232%26sr%3D1-2-spons%26psc%3D1,1446
"ASUS VivoBook 15 (2021), 15.6-inch (39.62 cm) HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W",ASUS,15.6 Inches,1366 X 768 (HD) Pixels,Intel,Celeron N4020,2,4 GB,25790,3.9,https://www.amazon.in/ASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W/dp/B09SGGB687/ref=sr_1_3?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-3,2028
"Acer Extensa 15 Lightweight Laptop Intel Core i3 11th Gen Processor (4 GB RAM/256GB SSD/Windows 11 Home/Intel UHD Graphics /1.7Kg/Black) EX215-54 with 15.6"" (39.6 cms) Full HD Display",Acer,15.6 Inches,1920 x 1080 Pixels,Intel,Core i3,1,4 GB,29990,3.8,https://www.amazon.in/Acer-Lightweight-Processor-Display-EX215-54/dp/B09STHP9PX/ref=sr_1_4?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-4,1631
Acer Aspire Intel Core i5 11th Gen - (16 GB/ 512 GB SSD/Widows 11 Home/ MS Office/Silver/ 1.7 Kgs) A315-58 with 39.6 cm (15.6 inches) FHD Display Laptop,Acer,15.6 Inches,1920 x 1080,Intel,Core i5,1,16 GB,53990,3.7,https://www.amazon.in/Acer-Aspire-Intel-Core-11th/dp/B0B5GDPSXS/ref=sr_1_5?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-5,1452
"Acer Aspire Vero AV15-51-5155 Green Laptop | 15.6"" FHD IPS Display | 11th Gen Intel Core i5-1155G7 | 16GB DDR4 | 512GB SSD | Wi-Fi 6 | PCR Materials | Windows 11 Home | Fingerprint Reader | MS Office",Acer,15.6 Inches,1920 x 1080 Pixels,Intel,Core i5,1,16 GB,55990,4.2,https://www.amazon.in/Acer-AV15-51-5155-i5-1155G7-Materials-Fingerprint/dp/B09STBTV74/ref=sr_1_7?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-7,1508
"Lenovo ThinkBook 15 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD 220 nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Windows 11/MS Office/Mineral Grey/1.7 Kg), 21A4A09UIH",Lenovo,15.6 Inches,1920x1080,AMD,Ryzen 5,1,8 GB,49990,3.8,https://www.amazon.in/Lenovo-ThinkBook-39-62cm-Antiglare-21A4A09UIH/dp/B0B1DK542Q/ref=sr_1_8?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-8,1971
"Dell Vostro 3420 Laptop - Intel i3-1115G4, 8GB DDR4 and 512GB SSD, Windows 11 + MSO'21, 14.0""/35.56Cms, FHD WVA AG 250 nits (Carbon Black, D552276WIN9BE, 1.48Kgs)",Dell,14 Inches,1920 x 1080 Pixels,Intel,Core i3,1,8 GB,39990,3.9,https://www.amazon.in/Dell-Vostro-3420-Laptop-D552276WIN9BE/dp/B0B46CJ21J/ref=sr_1_11?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-11,427
"Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen 15.6 inches (39.62cm) FHD Thin & Light Business Laptop (8GB/512GB SSD/Windows 11/MS Office/Backlit Keyboard/Arctic Grey/1.65Kg), 82H802KVIN",Lenovo,15.6 Inches,1080p,Intel,Core i5,4,8 GB,51662,3.9,https://www.amazon.in/Lenovo-IdeaPad-Business-Keyboard-82H802KVIN/dp/B0B82FX9JW/ref=sr_1_12?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-12,1922
"HP 15s,11th Gen Intel Core i3-1115G4 8GB RAM/512GB SSD 15.6-inch(39.6 cm) Micro-Edge Anti-Glare FHD Laptop/Alexa Built-in/Win 11/Intel UHD Graphics/Dual Speakers/ MS Office 2021/1.69 Kg, 15s-fq2673TU",HP,15.6 Inches,NA,Intel,Core i3,1,8 GB,42280,3.8,https://www.amazon.in/HP-i3-1115G4-Micro-Edge-Anti-Glare-15s-fq2673TU/dp/B0B4N6JVMW/ref=sr_1_13?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-13,1143
